Day Number;Animal count;Plants count;Average energy;Average Lifespan;Free fields count;Dominant genotype
1;10;19;48;0;371;[26070166]
2;10;29;46;0;361;[26070166]
3;10;38;44;0;352;[26070166]
4;10;46;43;0;344;[26070166]
5;11;56;39;0;333;[26070166]
6;11;65;37;0;324;[26070166]
7;11;75;35;0;314;[26070166]
8;12;84;32;0;304;[26070166]
9;12;90;31;0;298;[26070166]
10;13;98;27;0;289;[45623543]
11;14;103;25;0;283;[45623543]
12;15;110;23;0;275;[45623543]
13;16;113;21;0;271;[45623543]
14;17;114;20;0;269;[45623543]
15;19;117;18;0;264;[45623543]
16;20;120;16;0;260;[45623543]
17;21;119;15;0;260;[45623543]
18;23;120;14;0;257;[44730554]
19;25;118;12;0;257;[44730554]
20;29;120;10;0;251;[44730554]
21;28;117;10;5;255;[44730554]
22;25;117;11;3;258;[45623543]
23;28;121;9;4;251;[45623543]
