Day Number;Animal count;Plants count;Average energy;Average Lifespan;Free fields count
Label@435be784[styleClass=label]'Day: 0';10;10;48;0;380
Label@435be784[styleClass=label]'Day: 2';10;28;46;0;362
Label@435be784[styleClass=label]'Day: 3';10;38;44;0;352
Label@435be784[styleClass=label]'Day: 4';10;47;42;0;343
Label@435be784[styleClass=label]'Day: 5';10;56;41;0;334
Label@435be784[styleClass=label]'Day: 6';10;66;39;0;324
Label@435be784[styleClass=label]'Day: 7';10;73;38;0;317
Label@435be784[styleClass=label]'Day: 8';10;81;36;0;309
Label@435be784[styleClass=label]'Day: 9';10;87;35;0;303
Label@435be784[styleClass=label]'Day: 10';10;94;34;0;296
Label@435be784[styleClass=label]'Day: 11';10;103;33;0;287
Label@435be784[styleClass=label]'Day: 12';10;111;31;0;279
Label@435be784[styleClass=label]'Day: 13';10;119;30;0;271
Label@435be784[styleClass=label]'Day: 14';10;128;28;0;262
Label@435be784[styleClass=label]'Day: 15';10;135;27;0;255
Label@435be784[styleClass=label]'Day: 16';10;144;25;0;246
Label@435be784[styleClass=label]'Day: 17';10;150;25;0;240
Label@435be784[styleClass=label]'Day: 18';10;158;23;0;232
Label@435be784[styleClass=label]'Day: 19';10;163;23;0;227
Label@435be784[styleClass=label]'Day: 20';10;171;21;0;219
Label@435be784[styleClass=label]'Day: 21';10;179;20;0;211
Label@435be784[styleClass=label]'Day: 22';10;185;19;0;205
Label@435be784[styleClass=label]'Day: 23';10;191;18;0;199
Label@435be784[styleClass=label]'Day: 24';10;196;18;0;194
Label@435be784[styleClass=label]'Day: 25';10;202;17;0;188
Label@435be784[styleClass=label]'Day: 26';10;205;17;0;185
Label@435be784[styleClass=label]'Day: 27';10;210;17;0;180
Label@435be784[styleClass=label]'Day: 28';10;212;17;0;178
Label@435be784[styleClass=label]'Day: 29';10;214;17;0;176
Label@435be784[styleClass=label]'Day: 30';10;217;17;0;173
Label@435be784[styleClass=label]'Day: 31';10;223;17;0;167
Label@435be784[styleClass=label]'Day: 32';9;226;19;31;165
Label@435be784[styleClass=label]'Day: 33';9;230;19;31;161
Label@435be784[styleClass=label]'Day: 34';8;235;21;32;157
Label@435be784[styleClass=label]'Day: 35';8;239;22;32;153
Label@435be784[styleClass=label]'Day: 36';8;243;22;32;149
Label@435be784[styleClass=label]'Day: 37';8;246;22;32;146
Label@435be784[styleClass=label]'Day: 38';8;252;22;32;140
Label@435be784[styleClass=label]'Day: 39';8;258;21;32;134
Label@435be784[styleClass=label]'Day: 40';8;262;22;32;130
Label@435be784[styleClass=label]'Day: 41';8;266;22;32;126
Label@435be784[styleClass=label]'Day: 42';8;272;21;32;120
Label@435be784[styleClass=label]'Day: 43';8;276;22;32;116
Label@435be784[styleClass=label]'Day: 44';8;280;22;32;112
